GET /api/map/technique-pushes/transect?points=x,z;x,z — one line through each panel, plus the one
across the ridge. Every panel is a 96x76 island whose unmarked field settles at 8.

### plateau: the mesa, west to east
TRANSECT 93 stations from (-211, -45) to (-119, -45), every 1
  station        ground  surface  water  top  standing            step
  (   24,    45)      14       14           14                      scramble +2
  (   25,    45)      16       16           16                      scramble +2
  (   26,    45)      18       18           18                      scramble +2
  (   27,    45)      20       20           20                      scramble +2
  (   28,    45)      22       22           22                      scramble +2
  (   29,    45)      24       24           24                      scramble +2
  (   30,    45)      26       26           26                      scramble +2
  (   31,    45)      27       27           27                      +1
  (   32,    45)      28       28           28                      +1
  (   33,    45)      28       28           28                      
  (   34,    45)      28       28           28                      
  (   35,    45)      28       28           28                      
  (   36,    45)      28       28           28                      
  (   37,    45)      28       28           28                      
  (   38,    45)      28       28           28                      
  (   39,    45)      28       28           28                      
  (   40,    45)      27       27           27                      -1
  (   41,    45)      23       23           23                      DROP -4
  (   42,    45)      19       19           19                      DROP -4
  (   43,    45)      15       15           15                      DROP -4
  (   44,    45)      14       14           14                      -1
  (   45,    45)      14       14           14                      
  (   46,    45)      14       14           14                      
  (   47,    45)      14       14           14                      
  (   48,    45)      14       14           14                      
  (   49,    45)      14       14           14                      
  (   50,    45)      14       14           14                      
  (   51,    45)      14       14           14                      
  (   52,    45)      14       14           14                      
  (   53,    45)      14       14           14                      
  (   54,    45)      14       14           14                      
  (   55,    45)      14       14           14                      
  (   56,    45)      14       14           14                      
  (   57,    45)      14       14           14                      
  (   58,    45)      14       14           14                      
  (   59,    45)      14       14           14                      
  (   60,    45)      14       14           14                      
  (   61,    45)      14       14           14                      
  (   62,    45)      14       14           14                      
  (   63,    45)      14       14           14                      
  (   64,    45)      14       14           14                      
  (   65,    45)      14       14           14                      
  (   66,    45)      15       15           15                      +1
  (   67,    45)      19       19           19                      BARRIER +4
  (   68,    45)      23       23           23                      BARRIER +4
  (   69,    45)      27       27           27                      BARRIER +4
  (   70,    45)      28       28           28                      +1
  (   71,    45)      28       28           28                      
  (   72,    45)      28       28           28                      
  (   73,    45)      28       28           28                      
  (   74,    45)      28       28           28                      
  (   75,    45)      28       28           28                      
  (   76,    45)      28       28           28                      
  (   77,    45)      28       28           28                      
  (   78,    45)      27       27           27                      -1
  (   79,    45)      26       26           26                      -1
  (   80,    45)      24       24           24                      -2
  (   81,    45)      22       22           22                      -2
  (   82,    45)      20       20           20                      -2
  (   83,    45)      18       18           18                      -2
  (   84,    45)      16       16           16                      -2
  (   85,    45)      14       14           14                      -2
  (   86,    45)      12       12           12                      -2
  (   87,    45)      10       10           10                      -2
  (   88,    45)       9        9            9                      -1
  (   89,    45)       8        8            8                      -1
  (   90,    45)       8        8            8                      
  (   91,    45)       8        8            8                      
  (   92,    45)       8        8            8                      
  (   93,    45)       8        8            8                      
  (   94,    45)       8        8            8                      
  (   95,    45)       8        8            8                      
  (   96,    45)       8        8            8                      
  (   97,    45)       8        8            8                      
  (   98,    45)       8        8            8                      
  (   99,    45)       8        8            8                      
  (  100,    45)       8        8            8                      
  (  101,    45)       8        8            8                      
rises 17, falls 17, worst step 4: 3 barrier, 8 scramble, 3 drop — scramble +2 at (23, 45); scramble +2 at (24, 45); scramble +2 at (25, 45); scramble +2 at (26, 45); scramble +2 at (27, 45); scramble +2 at (28, 45); scramble +2 at (29, 45); scramble +2 at (30, 45); DROP -4 at (41, 45); DROP -4 at (42, 45); DROP -4 at (43, 45); BARRIER +4 at (67, 45); BARRIER +4 at (68, 45); BARRIER +4 at (69, 45) | walked end to end

### disagree: the step at the outline, west to east
TRANSECT 93 stations from (119, 45) to (211, 45), every 1
  station        ground  surface  water  top  standing            step
  (  119,    45)       8        8            8                      
  (  120,    45)       8        8            8                      
  (  121,    45)       8        8            8                      
  (  122,    45)       8        8            8                      
  (  123,    45)       8        8            8                      
  (  124,    45)       8        8            8                      
  (  125,    45)       8        8            8                      
  (  126,    45)       8        8            8                      
  (  127,    45)       8        8            8                      
  (  128,    45)       8        8            8                      
  (  129,    45)       8        8            8                      
  (  130,    45)       8        8            8                      
  (  131,    45)       8        8            8                      
  (  132,    45)       8        8            8                      
  (  133,    45)       8        8            8                      
  (  134,    45)       8        8            8                      
  (  135,    45)       8        8            8                      
  (  136,    45)       8        8            8                      
  (  137,    45)       8        8            8                      
  (  138,    45)       8        8            8                      
  (  139,    45)       9        9            9                      +1
  (  140,    45)      12       12           12                      BARRIER +3
  (  141,    45)      16       16           16                      BARRIER +4
  (  142,    45)      20       20           20                      BARRIER +4
  (  143,    45)      24       24           24                      BARRIER +4
  (  144,    45)      28       28           28                      BARRIER +4
  (  145,    45)      31       31           31                      BARRIER +3
  (  146,    45)      32       32           32                      +1
  (  147,    45)      32       32           32                      
  (  148,    45)      33       33           33                      +1
  (  149,    45)      33       33           33                      
  (  150,    45)      33       33           33                      
  (  151,    45)      34       34           34                      +1
  (  152,    45)      35       35           35                      +1
  (  153,    45)      35       35           35                      
  (  154,    45)      36       36           36                      +1
  (  155,    45)      37       37           37                      +1
  (  156,    45)      37       37           37                      
  (  157,    45)      38       38           38                      +1
  (  158,    45)      38       38           38                      
  (  159,    45)      39       39           39                      +1
  (  160,    45)      39       39           39                      
  (  161,    45)      40       40           40                      +1
  (  162,    45)      40       40           40                      
  (  163,    45)      40       40           40                      
  (  164,    45)      40       40           40                      
  (  165,    45)      40       40           40                      
  (  166,    45)      40       40           40                      
  (  167,    45)      40       40           40                      
  (  168,    45)      40       40           40                      
  (  169,    45)      39       39           39                      -1
  (  170,    45)      39       39           39                      
  (  171,    45)      38       38           38                      -1
  (  172,    45)      38       38           38                      
  (  173,    45)      37       37           37                      -1
  (  174,    45)      37       37           37                      
  (  175,    45)      36       36           36                      -1
  (  176,    45)      35       35           35                      -1
  (  177,    45)      35       35           35                      
  (  178,    45)      34       34           34                      -1
  (  179,    45)      33       33           33                      -1
  (  180,    45)      33       33           33                      
  (  181,    45)      33       33           33                      
  (  182,    45)      32       32           32                      -1
  (  183,    45)      32       32           32                      
  (  184,    45)      31       31           31                      -1
  (  185,    45)      28       28           28                      -3
  (  186,    45)      24       24           24                      DROP -4
  (  187,    45)      20       20           20                      DROP -4
  (  188,    45)      16       16           16                      DROP -4
  (  189,    45)      12       12           12                      DROP -4
  (  190,    45)       9        9            9                      -3
  (  191,    45)       8        8            8                      -1
  (  192,    45)       8        8            8                      
  (  193,    45)       8        8            8                      
  (  194,    45)       8        8            8                      
  (  195,    45)       8        8            8                      
  (  196,    45)       8        8            8                      
  (  197,    45)       8        8            8                      
  (  198,    45)       8        8            8                      
  (  199,    45)       8        8            8                      
  (  200,    45)       8        8            8                      
  (  201,    45)       8        8            8                      
  (  202,    45)       8        8            8                      
  (  203,    45)       8        8            8                      
  (  204,    45)       8        8            8                      
  (  205,    45)       8        8            8                      
  (  206,    45)       8        8            8                      
  (  207,    45)       8        8            8                      
  (  208,    45)       8        8            8                      
  (  209,    45)       8        8            8                      
  (  210,    45)       8        8            8                      
  (  211,    45)       8        8            8                      
rises 16, falls 16, worst step 4: 6 barrier, 0 scramble, 4 drop — BARRIER +3 at (140, 45); BARRIER +4 at (141, 45); BARRIER +4 at (142, 45); BARRIER +4 at (143, 45); BARRIER +4 at (144, 45); BARRIER +3 at (145, 45); DROP -4 at (186, 45); DROP -4 at (187, 45); DROP -4 at (188, 45); DROP -4 at (189, 45) | walked end to end

