GET /api/map/technique-water/transect?points=x,z;x,z — a line through each panel. The `water` column is
the line the body stands at; where it is blank the column is dry.

### beach — the fell, the strand and the sea running off the island's edge
TRANSECT 73 stations from (-220, -80) to (-220, -8), every 1
  station        ground  surface  water  top  standing            step
  ( -220,   -80)      30       30           30                      
  (    0,    61)      19       19     16    16  water down-a-hill-beck  
  (    0,    62)      18       18     16    16  water down-a-hill-beck  -1
  (    0,    63)      18       18     16    16  water down-a-hill-beck  
  (    0,    64)      18       18     16    16  water down-a-hill-beck  
  (    0,    65)      18       18     16    16  water down-a-hill-beck  
  (    0,    66)      17       17     16    16  water down-a-hill-beck  -1
  (    0,    67)      17       17     16    16  water down-a-hill-beck  
  (    0,    68)      17       17     16    16  water down-a-hill-beck  
  (    0,    69)      17       17     16    16  water down-a-hill-beck  
  (    0,    70)      16       16     16    16  water down-a-hill-beck  -1
  (    0,    71)      16       16     16    16  water down-a-hill-beck  
  (    0,    72)      16       16     16    16  water down-a-hill-beck  
  (    0,    73)      16       16     16    16  water down-a-hill-beck  
  (    0,    74)      16       16     16    16  water down-a-hill-beck  
  (    0,    75)      16       16     16    16  water down-a-hill-beck  
  (    0,    76)      16       16     16    16  water down-a-hill-beck  
  (    0,    77)      16       16     16    16  water down-a-hill-beck  
  (    0,    78)      16       16     16    16  water down-a-hill-beck  
  (    0,    79)      16       16     16    16  water down-a-hill-beck  
  (    0,    80)      16       16           16                      
rises 0, falls 14, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

### no-layer — the beck that took the deck as its ground
TRANSECT 71 stations from (110, 10) to (110, 80), every 1
  station        ground  surface  water  top  standing            step
  (  110,    10)      20       20           20  water no-layer-beck  
  (  110,    11)      20       20     20    20  water no-layer-beck  
  (  110,    12)      20       20     20    20  water no-layer-beck  
  (  110,    13)      20       20     20    20  water no-layer-beck  
  (  110,    14)      20       20     20    20  water no-layer-beck  
  (  110,    15)      20       20     20    20  water no-layer-beck  
  (  110,    16)      20       20     20    20  water no-layer-beck  
  (  110,    17)      20       20     20    20  water no-layer-beck  
  (  110,    18)      20       20     20    20  water no-layer-beck  
  (  110,    19)      20       20     20    20  water no-layer-beck  
  (  110,    20)      20       20     20    20  water no-layer-beck  
  (  110,    21)      20       20     20    20  water no-layer-beck  
  (  110,    22)      20       20     20    20  water no-layer-beck  
  (  110,    23)      20       20     20    20  water no-layer-beck  
  (  110,    24)      20       20     20    20  water no-layer-beck  
  (  110,    25)      20       20     20    20  water no-layer-beck  
  (  110,    26)      20       20     20    20  water no-layer-beck  
  (  110,    27)      20       20     20    20  water no-layer-beck  
  (  110,    28)      20       20     20    20  water no-layer-beck  
  (  110,    29)      20       20     20    20  water no-layer-beck  
  (  110,    30)      20       20     20    20  water no-layer-beck  
  (  110,    31)      20       20     20    20  water no-layer-beck  
  (  110,    32)      20       20     20    20  water no-layer-beck  
  (  110,    33)      20       20     20    20  water no-layer-beck  
  (  110,    34)      20       20     20    20  water no-layer-beck  
  (  110,    35)      20       20     20    20  water no-layer-beck  
  (  110,    36)      20       20     20    20  water no-layer-beck  
  (  110,    37)      20       20     20    20  water no-layer-beck  
  (  110,    38)      20       20     20    20  water no-layer-beck  
  (  110,    39)      26       26     20    20  water no-layer-beck  BARRIER +6
  (  110,    40)      26       26     20    20  water no-layer-beck  
  (  110,    41)      26       26     20    20  water no-layer-beck  
  (  110,    42)      26       26     20    20  water no-layer-beck  
  (  110,    43)      26       26     20    20  water no-layer-beck  
  (  110,    44)      26       26     20    20  water no-layer-beck  
  (  110,    45)      26       26     20    20  water no-layer-beck  
  (  110,    46)      26       26     20    20  water no-layer-beck  
  (  110,    47)      26       26     20    20  water no-layer-beck  
  (  110,    48)      26       26     20    20  water no-layer-beck  
  (  110,    49)      26       26     20    20  water no-layer-beck  
  (  110,    50)      26       26     20    20  water no-layer-beck  
  (  110,    51)      20       20     20    20  water no-layer-beck  DROP -6
  (  110,    52)      20       20     20    20  water no-layer-beck  
  (  110,    53)      20       20     20    20  water no-layer-beck  
  (  110,    54)      20       20     20    20  water no-layer-beck  
  (  110,    55)      20       20     20    20  water no-layer-beck  
  (  110,    56)      20       20     20    20  water no-layer-beck  
  (  110,    57)      20       20     20    20  water no-layer-beck  
  (  110,    58)      20       20     20    20  water no-layer-beck  
  (  110,    59)      20       20     20    20  water no-layer-beck  
  (  110,    60)      20       20     20    20  water no-layer-beck  
  (  110,    61)      20       20     20    20  water no-layer-beck  
  (  110,    62)      20       20     20    20  water no-layer-beck  
  (  110,    63)      20       20     20    20  water no-layer-beck  
  (  110,    64)      20       20     20    20  water no-layer-beck  
  (  110,    65)      20       20     20    20  water no-layer-beck  
  (  110,    66)      20       20     20    20  water no-layer-beck  
  (  110,    67)      20       20     20    20  water no-layer-beck  
  (  110,    68)      20       20     20    20  water no-layer-beck  
  (  110,    69)      20       20     20    20  water no-layer-beck  
  (  110,    70)      20       20     20    20  water no-layer-beck  
  (  110,    71)      20       20     20    20  water no-layer-beck  
  (  110,    72)      20       20     20    20  water no-layer-beck  
  (  110,    73)      20       20     20    20  water no-layer-beck  
  (  110,    74)      20       20     20    20  water no-layer-beck  
  (  110,    75)      20       20     20    20  water no-layer-beck  
  (  110,    76)      20       20     20    20  water no-layer-beck  
  (  110,    77)      20       20     20    20  water no-layer-beck  
  (  110,    78)      20       20     20    20  water no-layer-beck  
  (  110,    79)      20       20     20    20  water no-layer-beck  
  (  110,    80)      20       20     20    20  water no-layer-beck  
rises 1, falls 1, worst step 6: 1 barrier, 0 scramble, 1 drop — BARRIER +6 at (110, 39); DROP -6 at (110, 51) | walked end to end

### named-layer — the same beck naming the ground layer
TRANSECT 71 stations from (220, 10) to (220, 80), every 1
  station        ground  surface  water  top  standing            step
  (  220,    10)      20       20           20  water named-layer-beck  
  (  220,    11)      20       20     20    20  water named-layer-beck  
  (  220,    12)      20       20     20    20  water named-layer-beck  
  (  220,    13)      20       20     20    20  water named-layer-beck  
  (  220,    14)      20       20     20    20  water named-layer-beck  
  (  220,    15)      20       20     20    20  water named-layer-beck  
  (  220,    16)      20       20     20    20  water named-layer-beck  
  (  220,    17)      20       20     20    20  water named-layer-beck  
  (  220,    18)      20       20     20    20  water named-layer-beck  
  (  220,    19)      20       20     20    20  water named-layer-beck  
  (  220,    20)      20       20     20    20  water named-layer-beck  
  (  220,    21)      20       20     20    20  water named-layer-beck  
  (  220,    22)      20       20     20    20  water named-layer-beck  
  (  220,    23)      20       20     20    20  water named-layer-beck  
  (  220,    24)      20       20     20    20  water named-layer-beck  
  (  220,    25)      20       20     20    20  water named-layer-beck  
  (  220,    26)      20       20     20    20  water named-layer-beck  
  (  220,    27)      20       20     20    20  water named-layer-beck  
  (  220,    28)      20       20     20    20  water named-layer-beck  
  (  220,    29)      20       20     20    20  water named-layer-beck  
  (  220,    30)      20       20     20    20  water named-layer-beck  
  (  220,    31)      20       20     20    20  water named-layer-beck  
  (  220,    32)      20       20     20    20  water named-layer-beck  
  (  220,    33)      20       20     20    20  water named-layer-beck  
  (  220,    34)      20       20     20    20  water named-layer-beck  
  (  220,    35)      20       20     20    20  water named-layer-beck  
  (  220,    36)      20       20     20    20  water named-layer-beck  
  (  220,    37)      20       20     20    20  water named-layer-beck  
  (  220,    38)      20       20     20    20  water named-layer-beck  
  (  220,    39)      26       26     20    26  water named-layer-beck  BARRIER +6
  (  220,    40)      26       26     20    26  water named-layer-beck  
  (  220,    41)      26       26     20    26  water named-layer-beck  
  (  220,    42)      26       26     20    26  water named-layer-beck  
  (  220,    43)      26       26     20    26  water named-layer-beck  
  (  220,    44)      26       26     20    26  water named-layer-beck  
  (  220,    45)      26       26     20    26  water named-layer-beck  
  (  220,    46)      26       26     20    26  water named-layer-beck  
  (  220,    47)      26       26     20    26  water named-layer-beck  
  (  220,    48)      26       26     20    26  water named-layer-beck  
  (  220,    49)      26       26     20    26  water named-layer-beck  
  (  220,    50)      26       26     20    26  water named-layer-beck  
  (  220,    51)      20       20     20    20  water named-layer-beck  DROP -6
  (  220,    52)      20       20     20    20  water named-layer-beck  
  (  220,    53)      20       20     20    20  water named-layer-beck  
  (  220,    54)      20       20     20    20  water named-layer-beck  
  (  220,    55)      20       20     20    20  water named-layer-beck  
  (  220,    56)      20       20     20    20  water named-layer-beck  
  (  220,    57)      20       20     20    20  water named-layer-beck  
  (  220,    58)      20       20     20    20  water named-layer-beck  
  (  220,    59)      20       20     20    20  water named-layer-beck  
  (  220,    60)      20       20     20    20  water named-layer-beck  
  (  220,    61)      20       20     20    20  water named-layer-beck  
  (  220,    62)      20       20     20    20  water named-layer-beck  
  (  220,    63)      20       20     20    20  water named-layer-beck  
  (  220,    64)      20       20     20    20  water named-layer-beck  
  (  220,    65)      20       20     20    20  water named-layer-beck  
  (  220,    66)      20       20     20    20  water named-layer-beck  
  (  220,    67)      20       20     20    20  water named-layer-beck  
  (  220,    68)      20       20     20    20  water named-layer-beck  
  (  220,    69)      20       20     20    20  water named-layer-beck  
  (  220,    70)      20       20     20    20  water named-layer-beck  
  (  220,    71)      20       20     20    20  water named-layer-beck  
  (  220,    72)      20       20     20    20  water named-layer-beck  
  (  220,    73)      20       20     20    20  water named-layer-beck  
  (  220,    74)      20       20     20    20  water named-layer-beck  
  (  220,    75)      20       20     20    20  water named-layer-beck  
  (  220,    76)      20       20     20    20  water named-layer-beck  
  (  220,    77)      20       20     20    20  water named-layer-beck  
  (  220,    78)      20       20     20    20  water named-layer-beck  
  (  220,    79)      20       20     20    20  water named-layer-beck  
  (  220,    80)      20       20     20    20  water named-layer-beck  
rises 1, falls 1, worst step 6: 1 barrier, 0 scramble, 1 drop — BARRIER +6 at (220, 39); DROP -6 at (220, 51) | walked end to end

